文字,日付,数値
aaa,2023
aaa,2023/03/20,1000
aaa,2023/03/21,1000
aaa,2023/03/22,1000
aaa,2023/03/23,1000
aaa,2023/03/24,1000
aaa,2023/03/25,1000
aaa,2023/03/26,1000
aaa,2023/03/27,1000
aaa,2023/03/28,1000
aaa,2023/03/29,1000
aaa,2023/03/30,1000
aaa,2023/03/31,1000
aaa,2023/04/01,1000
aaa,2023/04/02,1000
aaa,2023/04/03,1000
aaa,2023/04/04,1000
aaa,2023/04/05,1000
aaa,2023/04/06,1000
aaa,2023/04/07,1000
aaa,2023/04/08,1000
aaa,2023/04/09,1000
aaa,2023/04/10,1000
aaa,2023/04/11,1000
aaa,2023/04/12,1000
aaa,2023/04/13,1000
aaa,2023/04/14,1000
aaa,2023/04/15,1000
aaa,2023/04/16,1000
aaa,2023/04/17,1000
aaa,2023/04/18,1000
aaa,2023/04/19,1000
aaa,2023/04/20,1000
aaa,2023/04/21,1000
aaa,2023/04/22,1000
aaa,2023/04/23,1000
aaa,2023/04/24,1000
aaa,2023/04/25,1000
aaa,2023/04/26,1000
aaa,2023/04/27,1000
aaa,2023/04/28,1000
bbb,2023/03/19,1000
bbb,2023/03/20,1000
bbb,2023/03/21,1000
bbb,2023/03/22,1000
bbb,2023/03/23,1000
bbb,2023/03/24,1000
bbb,2023/03/25,1000
bbb,2023/03/26,1000
bbb,2023/03/27,1000
bbb,2023/03/28,1000
bbb,2023/03/29,1000
bbb,2023/03/30,1000
bbb,2023/03/31,1000
bbb,2023/04/01,1000
bbb,2023/04/02,1000
bbb,2023/04/03,1000
bbb,2023/04/04,1000
bbb,2023/04/05,1000
bbb,2023/04/06,1000
bbb,2023/04/07,1000
bbb,2023/04/08,1000
bbb,2023/04/09,1000
bbb,2023/04/10,1000
bbb,2023/04/11,1000
bbb,2023/04/12,1000
bbb,2023/04/13,1000
bbb,2023/04/14,1000
bbb,2023/04/15,1000
bbb,2023/04/16,1000
bbb,2023/04/17,1000
bbb,2023/04/18,1000
bbb,2023/04/19,1000
bbb,2023/04/20,1000
bbb,2023/04/21,1000
bbb,2023/04/22,1000
bbb,2023/04/23,1000
bbb,2023/04/24,1000
bbb,2023/04/25,1000
bbb,2023/04/26,1000
bbb,2023/04/27,1000
bbb,2023/04/28,1000
ccc,2023/03/19,1000
ccc,2023/03/20,1000
ccc,2023/03/21,1000
ccc,2023/03/22,1000
ccc,2023/03/23,1000
ccc,2023/03/24,1000
ccc,2023/03/25,1000
ccc,2023/03/26,1000
ccc,2023/03/27,1000
ccc,2023/03/28,1000
ccc,2023/03/29,1000
ccc,2023/03/30,1000
ccc,2023/03/31,1000
ccc,2023/04/01,1000
ccc,2023/04/02,1000
ccc,2023/04/03,1000
ccc,2023/04/04,1000
ccc,2023/04/05,1000
ccc,2023/04/06,1000
ccc,2023/04/07,1000
ccc,2023/04/08,1000
ccc,2023/04/09,1000
ccc,2023/04/10,1000
ccc,2023/04/11,1000
ccc,2023/04/12,1000
ccc,2023/04/13,1000
ccc,2023/04/14,1000
ccc,2023/04/15,1000
ccc,2023/04/16,1000
ccc,2023/04/17,1000
ccc,2023/04/18,1000
ccc,2023/04/19,1000
ccc,2023/04/20,1000
ccc,2023/04/21,1000
ccc,2023/04/22,1000
ccc,2023/04/23,1000
ccc,2023/04/24,1000
ccc,2023/04/25,1000
ccc,2023/04/26,1000
ccc,2023/04/27,1000
ccc,2023/04/28,1000
ddd,2023/03/19,1000
ddd,2023/03/20,1000
ddd,2023/03/21,1000
ddd,2023/03/22,1000
ddd,2023/03/23,1000
ddd,2023/03/24,1000
ddd,2023/03/25,1000
ddd,2023/03/26,1000
ddd,2023/03/27,1000
ddd,2023/03/28,1000
ddd,2023/03/29,1000
ddd,2023/03/30,1000
ddd,2023/03/31,1000
ddd,2023/04/01,1000
ddd,2023/04/02,1000
ddd,2023/04/03,1000
ddd,2023/04/04,1000
ddd,2023/04/05,1000
ddd,2023/04/06,1000
ddd,2023/04/07,1000
ddd,2023/04/08,1000
ddd,2023/04/09,1000
ddd,2023/04/10,1000
ddd,2023/04/11,1000
ddd,2023/04/12,1000
ddd,2023/04/13,1000
ddd,2023/04/14,1000
ddd,2023/04/15,1000
ddd,2023/04/16,1000
ddd,2023/04/17,1000
ddd,2023/04/18,1000
ddd,2023/04/19,1000
ddd,2023/04/20,1000
ddd,2023/04/21,1000
ddd,2023/04/22,1000
ddd,2023/04/23,1000
ddd,2023/04/24,1000
ddd,2023/04/25,1000
ddd,2023/04/26,1000
ddd,2023/04/27,1000
ddd,2023/04/28,1000
eee,2023/03/19,1000
eee,2023/03/20,1000
eee,2023/03/21,1000
eee,2023/03/22,1000
eee,2023/03/23,1000
eee,2023/03/24,1000
eee,2023/03/25,1000
eee,2023/03/26,1000
eee,2023/03/27,1000
eee,2023/03/28,1000
eee,2023/03/29,1000
eee,2023/03/30,1000
eee,2023/03/31,1000
eee,2023/04/01,1000
eee,2023/04/02,1000
eee,2023/04/03,1000
eee,2023/04/04,1000
eee,2023/04/05,1000
eee,2023/04/06,1000
eee,2023/04/07,1000
eee,2023/04/08,1000
eee,2023/04/09,1000
eee,2023/04/10,1000
eee,2023/04/11,1000
eee,2023/04/12,1000
eee,2023/04/13,1000
