文字,日付,数値
aaa,2023/03/19,1000
aaa,2023/03/20,8600
aaa,2023/03/21,9200
aaa,2023/03/22,3000
aaa,2023/03/23,3600
aaa,2023/03/24,2200
aaa,2023/03/25,1900
aaa,2023/03/26,4800
aaa,2023/03/27,8000
aaa,2023/03/28,4300
aaa,2023/03/29,6800
aaa,2023/03/30,9100
aaa,2023/03/31,7300
aaa,2023/04/01,8700
aaa,2023/04/02,3200
aaa,2023/04/03,6400
aaa,2023/04/04,8200
aaa,2023/04/05,4000
aaa,2023/04/06,3800
aaa,2023/04/07,8300
aaa,2023/04/08,6500
aaa,2023/04/09,5700
aaa,2023/04/10,4100
aaa,2023/04/11,4900
aaa,2023/04/12,4800
aaa,2023/04/13,4300
aaa,2023/04/14,3700
aaa,2023/04/15,6500
aaa,2023/04/16,9200
aaa,2023/04/17,3100
aaa,2023/04/18,7900
aaa,2023/04/19,8700
aaa,2023/04/20,3700
aaa,2023/04/21,7200
aaa,2023/04/22,1400
aaa,2023/04/23,5200
aaa,2023/04/24,8300
aaa,2023/04/25,5300
aaa,2023/04/26,3400
aaa,2023/04/27,6400
aaa,2023/04/28,8100
bbb,2023/03/19,8900
bbb,2023/03/20,4100
bbb,2023/03/21,8600
bbb,2023/03/22,5700
bbb,2023/03/23,6600
bbb,2023/03/24,1800
bbb,2023/03/25,8900
bbb,2023/03/26,6400
bbb,2023/03/27,1700
bbb,2023/03/28,9600
bbb,2023/03/29,8400
bbb,2023/03/30,8900
bbb,2023/03/31,6300
bbb,2023/04/01,7100
bbb,2023/04/02,4600
bbb,2023/04/03,7100
bbb,2023/04/04,4100
bbb,2023/04/05,4300
bbb,2023/04/06,8100
bbb,2023/04/07,3300
bbb,2023/04/08,7000
bbb,2023/04/09,7800
bbb,2023/04/10,1300
bbb,2023/04/11,4800
bbb,2023/04/12,5800
bbb,2023/04/13,2300
bbb,2023/04/14,2600
bbb,2023/04/15,1900
bbb,2023/04/16,8500
bbb,2023/04/17,2000
bbb,2023/04/18,7100
bbb,2023/04/19,2600
bbb,2023/04/20,1300
bbb,2023/04/21,8700
bbb,2023/04/22,2500
bbb,2023/04/23,1200
bbb,2023/04/24,7000
bbb,2023/04/25,9400
bbb,2023/04/26,4600
bbb,2023/04/27,9000
bbb,2023/04/28,7300
ccc,2023/03/19,7600
ccc,2023/03/20,5100
ccc,2023/03/21,2400
ccc,2023/03/22,3500
ccc,2023/03/23,1600
ccc,2023/03/24,1900
ccc,2023/03/25,1100
ccc,2023/03/26,9700
ccc,2023/03/27,3000
ccc,2023/03/28,7900
ccc,2023/03/29,2400
ccc,2023/03/30,2000
ccc,2023/03/31,7300
ccc,2023/04/01,1200
ccc,2023/04/02,6000
ccc,2023/04/03,9400
ccc,2023/04/04,2100
ccc,2023/04/05,9700
ccc,2023/04/06,9700
ccc,2023/04/07,7100
ccc,2023/04/08,5600
ccc,2023/04/09,6100
ccc,2023/04/10,5600
ccc,2023/04/11,7700
ccc,2023/04/12,2500
ccc,2023/04/13,1000
ccc,2023/04/14,5700
ccc,2023/04/15,9500
ccc,2023/04/16,9700
ccc,2023/04/17,3500
ccc,2023/04/18,4200
ccc,2023/04/19,8700
ccc,2023/04/20,3100
ccc,2023/04/21,3700
ccc,2023/04/22,3300
ccc,2023/04/23,2600
ccc,2023/04/24,2300
ccc,2023/04/25,5900
ccc,2023/04/26,4600
ccc,2023/04/27,8100
ccc,2023/04/28,9000
ddd,2023/03/19,3900
ddd,2023/03/20,1100
ddd,2023/03/21,8600
ddd,2023/03/22,2800
ddd,2023/03/23,5800
ddd,2023/03/24,9100
ddd,2023/03/25,3700
ddd,2023/03/26,8300
ddd,2023/03/27,5400
ddd,2023/03/28,3400
ddd,2023/03/29,6100
ddd,2023/03/30,3300
ddd,2023/03/31,4300
ddd,2023/04/01,8300
ddd,2023/04/02,6000
ddd,2023/04/03,3200
ddd,2023/04/04,5200
ddd,2023/04/05,4200
ddd,2023/04/06,3300
ddd,2023/04/07,6900
ddd,2023/04/08,9400
ddd,2023/04/09,1000
ddd,2023/04/10,4200
ddd,2023/04/11,4800
ddd,2023/04/12,4200
ddd,2023/04/13,8200
ddd,2023/04/14,3700
ddd,2023/04/15,1000
ddd,2023/04/16,4600
ddd,2023/04/17,5900
ddd,2023/04/18,3600
ddd,2023/04/19,5900
ddd,2023/04/20,8400
ddd,2023/04/21,9600
ddd,2023/04/22,5500
ddd,2023/04/23,6400
ddd,2023/04/24,7300
ddd,2023/04/25,7300
ddd,2023/04/26,2400
ddd,2023/04/27,4800
ddd,2023/04/28,4500
eee,2023/03/19,6200
eee,2023/03/20,2900
eee,2023/03/21,1900
eee,2023/03/22,6200
eee,2023/03/23,7700
eee,2023/03/24,5200
eee,2023/03/25,6500
eee,2023/03/26,3400
eee,2023/03/27,8300
eee,2023/03/28,6400
eee,2023/03/29,7800
eee,2023/03/30,6400
eee,2023/03/31,2400
eee,2023/04/01,8600
eee,2023/04/02,3500
eee,2023/04/03,4500
eee,2023/04/04,4600
eee,2023/04/05,9300
eee,2023/04/06,9200
eee,2023/04/07,7200
eee,2023/04/08,8600
eee,2023/04/09,5500
eee,2023/04/10,9300
eee,2023/04/11,3300
eee,2023/04/12,9200
eee,2023/04/13,6800
eee,2023/04/14,3300
eee,2023/04/15,4800
eee,2023/04/16,4600
eee,2023/04/17,1700
eee,2023/04/18,2600
eee,2023/04/19,5300
eee,2023/04/20,4200
eee,2023/04/21,5600
eee,2023/04/22,1200
eee,2023/04/23,2900
eee,2023/04/24,10000
eee,2023/04/25,2900
eee,2023/04/26,5300
eee,2023/04/27,1900
eee,2023/04/28,5800
