文字,日付,数値
aaa,2023/03/19,1000
ddd,2023/03/19,4646
ccc,2023/03/19,10287
bbb,2023/03/19,13011
eee,2023/03/19,9300
aaa,2023/03/20,12572
ccc,2023/03/20,6903
bbb,2023/03/20,4884
eee,2023/03/20,2900
ddd,2023/03/20,889
ccc,2023/03/21,1551
eee,2023/03/21,1022
bbb,2023/03/21,4300
aaa,2023/03/21,4950
ddd,2023/03/21,5559
ddd,2023/03/22,2264
ccc,2023/03/22,3500
bbb,2023/03/22,6790
aaa,2023/03/22,4060
eee,2023/03/22,9064
eee,2023/03/23,11550
bbb,2023/03/23,9648
ddd,2023/03/23,7850
aaa,2023/03/23,4288
ccc,2023/03/23,1600
ccc,2023/03/24,1536
aaa,2023/03/24,1422
eee,2023/03/24,2797
bbb,2023/03/24,900
ddd,2023/03/24,4896
eee,2023/03/25,4201
bbb,2023/03/25,7197
ddd,2023/03/25,3700
aaa,2023/03/25,2263
ccc,2023/03/25,1488
aaa,2023/03/26,7017
ccc,2023/03/26,14550
eee,2023/03/26,4970
bbb,2023/03/26,8662
ddd,2023/03/26,9888
ccc,2023/03/27,3000
aaa,2023/03/27,6469
ddd,2023/03/27,3490
eee,2023/03/27,4465
bbb,2023/03/27,850
ddd,2023/03/28,1829
ccc,2023/03/28,5106
bbb,2023/03/28,7763
aaa,2023/03/28,4300
eee,2023/03/28,7624
aaa,2023/03/29,9204
ccc,2023/03/29,3508
eee,2023/03/29,11700
ddd,2023/03/29,8917
bbb,2023/03/29,11369
eee,2023/03/30,7624
ccc,2023/03/30,2000
ddd,2023/03/30,2668
bbb,2023/03/30,5753
aaa,2023/03/30,4896
ddd,2023/03/31,2150
eee,2023/03/31,1291
bbb,2023/03/31,4072
ccc,2023/03/31,5903
aaa,2023/03/31,7300
aaa,2023/04/01,10364
eee,2023/04/01,11640
ccc,2023/04/01,1754
ddd,2023/04/01,12450
bbb,2023/04/01,10379
aaa,2023/04/02,4331
ccc,2023/04/02,7148
eee,2023/04/02,3500
ddd,2023/04/02,4851
bbb,2023/04/02,2973
ddd,2023/04/03,1721
eee,2023/04/03,2250
bbb,2023/04/03,3820
ccc,2023/04/03,6076
aaa,2023/04/03,5175
ddd,2023/04/04,5200
eee,2023/04/04,5480
ccc,2023/04/04,2842
bbb,2023/04/04,5993
aaa,2023/04/04,12300
ddd,2023/04/05,6140
bbb,2023/04/05,5820
ccc,2023/04/05,11556
eee,2023/04/05,9300
aaa,2023/04/05,3234
ccc,2023/04/06,6270
ddd,2023/04/06,1775
aaa,2023/04/06,1900
eee,2023/04/06,4950
bbb,2023/04/06,5236
bbb,2023/04/07,2668
ddd,2023/04/07,6900
aaa,2023/04/07,9888
eee,2023/04/07,9745
ccc,2023/04/07,10379
ddd,2023/04/08,14100
eee,2023/04/08,12572
ccc,2023/04/08,7579
aaa,2023/04/08,7743
bbb,2023/04/08,7000
ccc,2023/04/09,4932
aaa,2023/04/09,3684
eee,2023/04/09,2959
