c1,c2,c3,c3-2,c4,c5
a,1,A,A,beta,4
a,1,A,B,alpha,66
a,1,A,C,alpha,2
a,1,A,D,alpha,66
a,1,B,A,delta,2
a,1,B,B,gamma,4
a,1,B,C,delta,66
a,1,B,D,delta,2
a,1,C,A,alpha,4
a,1,C,B,delta,3
a,1,C,C,beta,4
a,1,C,D,beta,4
a,1,D,A,delta,66
a,1,D,B,gamma,2
a,1,D,C,delta,2
a,1,D,D,alpha,66
a,2,A,A,gamma,66
a,2,A,B,gamma,555
a,2,A,C,beta,3
a,2,A,D,gamma,66
a,2,B,A,beta,4
a,2,B,B,beta,4
a,2,B,C,gamma,555
a,2,B,D,gamma,2
a,2,C,A,gamma,66
a,2,C,B,beta,4
a,2,C,C,delta,3
a,2,C,D,alpha,555
a,2,D,A,beta,555
a,2,D,B,gamma,555
a,2,D,C,delta,4
a,2,D,D,gamma,66
a,3,A,A,beta,2
a,3,A,B,delta,4
a,3,A,C,gamma,2
a,3,A,D,beta,2
a,3,B,A,beta,4
a,3,B,B,gamma,555
a,3,B,C,alpha,4
a,3,B,D,gamma,2
a,3,C,A,beta,3
a,3,C,B,alpha,3
a,3,C,C,beta,2
a,3,C,D,alpha,4
a,3,D,A,beta,4
a,3,D,B,delta,4
a,3,D,C,delta,2
a,3,D,D,beta,2
b,1,A,A,delta,555
b,1,A,B,alpha,555
b,1,A,C,delta,4
b,1,A,D,gamma,555
b,1,B,A,delta,3
b,1,B,B,delta,2
b,1,B,C,alpha,555
b,1,B,D,delta,2
b,1,C,A,beta,66
b,1,C,B,alpha,3
b,1,C,C,gamma,555
b,1,C,D,delta,66
b,1,D,A,gamma,3
b,1,D,B,gamma,3
b,1,D,C,gamma,4
b,1,D,D,delta,555
b,2,A,A,beta,66
b,2,A,B,gamma,555
b,2,A,C,alpha,2
b,2,A,D,gamma,3
b,2,B,A,gamma,555
b,2,B,B,delta,3
b,2,B,C,alpha,555
b,2,B,D,beta,66
b,2,C,A,gamma,4
b,2,C,B,beta,3
b,2,C,C,alpha,4
b,2,C,D,delta,2
b,2,D,A,delta,66
b,2,D,B,beta,66
b,2,D,C,alpha,2
b,2,D,D,gamma,3
b,3,A,A,beta,3
b,3,A,B,alpha,66
b,3,A,C,alpha,2
b,3,A,D,beta,4
b,3,B,A,gamma,4
b,3,B,B,beta,66
b,3,B,C,beta,3
b,3,B,D,gamma,3
b,3,C,A,gamma,66
b,3,C,B,gamma,4
b,3,C,C,alpha,2
b,3,C,D,gamma,3
b,3,D,A,alpha,555
b,3,D,B,beta,4
b,3,D,C,beta,4
b,3,D,D,beta,66
