文字,日付,数値
aaa,2023/03/19,1000
ddd,2023/03/19,1058
ccc,2023/03/19,1118
bbb,2023/03/19,1178
eee,2023/03/19,1237
aaa,2023/03/20,1296
ccc,2023/03/20,1351
bbb,2023/03/20,1406
eee,2023/03/20,1459
ddd,2023/03/20,1508
ddd,2023/03/21,1609
bbb,2023/03/21,1609
aaa,2023/03/21,1647
ccc,2023/03/21,1623
eee,2023/03/21,1649
ddd,2023/03/22,1717
ccc,2023/03/22,1734
bbb,2023/03/22,1746
aaa,2023/03/22,1752
eee,2023/03/22,1753
eee,2023/03/23,1748
bbb,2023/03/23,1736
ddd,2023/03/23,1720
aaa,2023/03/23,1698
ccc,2023/03/23,1671
ddd,2023/03/24,1691
bbb,2023/03/24,1627
ccc,2023/03/24,1538
aaa,2023/03/24,1493
eee,2023/03/24,1447
eee,2023/03/25,1420
bbb,2023/03/25,1366
ddd,2023/03/25,1313
aaa,2023/03/25,1258
ccc,2023/03/25,1202
bbb,2023/03/26,1172
eee,2023/03/26,1101
ddd,2023/03/26,1056
aaa,2023/03/26,969
ccc,2023/03/26,923
ccc,2023/03/27,899
aaa,2023/03/27,859
ddd,2023/03/27,824
eee,2023/03/27,794
bbb,2023/03/27,769
ddd,2023/03/28,751
ccc,2023/03/28,738
bbb,2023/03/28,733
aaa,2023/03/28,735
eee,2023/03/28,743
bbb,2023/03/29,779
ddd,2023/03/29,792
aaa,2023/03/29,801
ccc,2023/03/29,838
eee,2023/03/29,881
eee,2023/03/30,944
ccc,2023/03/30,1001
ddd,2023/03/30,1063
bbb,2023/03/30,1132
aaa,2023/03/30,1206
ccc,2023/03/31,1307
bbb,2023/03/31,1373
aaa,2023/03/31,1468
ddd,2023/03/31,1510
eee,2023/03/31,1598
eee,2023/04/01,1727
ccc,2023/04/01,1817
ddd,2023/04/01,1907
bbb,2023/04/01,1996
aaa,2023/04/01,2022
aaa,2023/04/02,2154
ccc,2023/04/02,2233
eee,2023/04/02,2307
ddd,2023/04/02,2377
bbb,2023/04/02,2442
ccc,2023/04/03,2541
aaa,2023/04/03,2593
bbb,2023/04/03,2593
ddd,2023/04/03,2585
eee,2023/04/03,2613
ddd,2023/04/04,2676
eee,2023/04/04,2686
ccc,2023/04/04,2687
bbb,2023/04/04,2680
aaa,2023/04/04,2665
eee,2023/04/05,2683
ccc,2023/04/05,2621
aaa,2023/04/05,2595
ddd,2023/04/05,2481
bbb,2023/04/05,2427
ccc,2023/04/06,2404
ddd,2023/04/06,2337
aaa,2023/04/06,2264
eee,2023/04/06,2188
bbb,2023/04/06,2108
bbb,2023/04/07,2025
ddd,2023/04/07,1941
aaa,2023/04/07,1854
eee,2023/04/07,1768
ccc,2023/04/07,1684
bbb,2023/04/08,1632
aaa,2023/04/08,1535
ccc,2023/04/08,1444
eee,2023/04/08,1358
ddd,2023/04/08,1279
ccc,2023/04/09,1244
aaa,2023/04/09,1191
eee,2023/04/09,1145
bbb,2023/04/09,1107
ddd,2023/04/09,1078
ccc,2023/04/10,1073
bbb,2023/04/10,1054
ddd,2023/04/10,1058
aaa,2023/04/10,1044
eee,2023/04/10,1064
ddd,2023/04/11,1109
aaa,2023/04/11,1149
bbb,2023/04/11,1200
eee,2023/04/11,1259
ccc,2023/04/11,1328
bbb,2023/04/12,1406
eee,2023/04/12,1492
ddd,2023/04/12,1585
ccc,2023/04/12,1685
aaa,2023/04/12,1791
eee,2023/04/13,1935
ccc,2023/04/13,2034
aaa,2023/04/13,2134
ddd,2023/04/13,2235
bbb,2023/04/13,2334
aaa,2023/04/14,2495
ddd,2023/04/14,2615
ccc,2023/04/14,2732
bbb,2023/04/14,2845
eee,2023/04/14,2955
eee,2023/04/15,3098
ddd,2023/04/15,3171
ccc,2023/04/15,3274
bbb,2023/04/15,3288
aaa,2023/04/15,3361
bbb,2023/04/16,3467
aaa,2023/04/16,3521
ccc,2023/04/16,3565
ddd,2023/04/16,3595
eee,2023/04/16,3616
ccc,2023/04/17,3625
eee,2023/04/17,3623
aaa,2023/04/17,3608
ddd,2023/04/17,3581
bbb,2023/04/17,3544
bbb,2023/04/18,3552
ddd,2023/04/18,3452
ccc,2023/04/18,3383
eee,2023/04/18,3266
aaa,2023/04/18,3156
