文字,日付,数値
aaa,2023/03/19,1000
ddd,2023/03/19,1002
ccc,2023/03/19,1005
bbb,2023/03/19,1007
eee,2023/03/19,1011
aaa,2023/03/20,1013
ccc,2023/03/20,1016
bbb,2023/03/20,1019
eee,2023/03/20,1022
ddd,2023/03/20,1024
ddd,2023/03/21,1017
bbb,2023/03/21,1028
aaa,2023/03/21,1031
ccc,2023/03/21,1044
eee,2023/03/21,1047
ddd,2023/03/22,1042
ccc,2023/03/22,1044
bbb,2023/03/22,1048
aaa,2023/03/22,1050
eee,2023/03/22,1053
eee,2023/03/23,1056
bbb,2023/03/23,1059
ddd,2023/03/23,1062
aaa,2023/03/23,1064
ccc,2023/03/23,1068
ddd,2023/03/24,1058
bbb,2023/03/24,1067
ccc,2023/03/24,1081
aaa,2023/03/24,1084
eee,2023/03/24,1086
eee,2023/03/25,1084
bbb,2023/03/25,1087
ddd,2023/03/25,1089
aaa,2023/03/25,1093
ccc,2023/03/25,1095
bbb,2023/03/26,1088
eee,2023/03/26,1097
ddd,2023/03/26,1097
aaa,2023/03/26,1115
ccc,2023/03/26,1117
ccc,2023/03/27,1110
aaa,2023/03/27,1113
ddd,2023/03/27,1116
eee,2023/03/27,1118
bbb,2023/03/27,1121
ddd,2023/03/28,1123
ccc,2023/03/28,1126
bbb,2023/03/28,1128
aaa,2023/03/28,1131
eee,2023/03/28,1133
bbb,2023/03/29,1123
ddd,2023/03/29,1132
aaa,2023/03/29,1147
ccc,2023/03/29,1150
eee,2023/03/29,1152
eee,2023/03/30,1148
ccc,2023/03/30,1150
ddd,2023/03/30,1153
bbb,2023/03/30,1154
aaa,2023/03/30,1157
ccc,2023/03/31,1149
bbb,2023/03/31,1158
aaa,2023/03/31,1157
ddd,2023/03/31,1175
eee,2023/03/31,1178
eee,2023/04/01,1166
ccc,2023/04/01,1168
ddd,2023/04/01,1170
bbb,2023/04/01,1171
aaa,2023/04/01,1191
aaa,2023/04/02,1179
ccc,2023/04/02,1181
eee,2023/04/02,1183
ddd,2023/04/02,1185
bbb,2023/04/02,1186
ccc,2023/04/03,1177
aaa,2023/04/03,1180
bbb,2023/04/03,1192
ddd,2023/04/03,1205
eee,2023/04/03,1206
ddd,2023/04/04,1196
eee,2023/04/04,1198
ccc,2023/04/04,1200
bbb,2023/04/04,1201
aaa,2023/04/04,1203
eee,2023/04/05,1193
ccc,2023/04/05,1201
aaa,2023/04/05,1198
ddd,2023/04/05,1219
bbb,2023/04/05,1221
ccc,2023/04/06,1210
ddd,2023/04/06,1211
aaa,2023/04/06,1212
eee,2023/04/06,1214
bbb,2023/04/06,1214
bbb,2023/04/07,1216
ddd,2023/04/07,1216
aaa,2023/04/07,1218
eee,2023/04/07,1217
ccc,2023/04/07,1219
bbb,2023/04/08,1204
aaa,2023/04/08,1212
ccc,2023/04/08,1222
eee,2023/04/08,1229
ddd,2023/04/08,1237
ccc,2023/04/09,1222
aaa,2023/04/09,1223
eee,2023/04/09,1223
bbb,2023/04/09,1224
ddd,2023/04/09,1223
ccc,2023/04/10,1213
bbb,2023/04/10,1220
ddd,2023/04/10,1216
aaa,2023/04/10,1237
eee,2023/04/10,1236
ddd,2023/04/11,1225
aaa,2023/04/11,1224
bbb,2023/04/11,1225
eee,2023/04/11,1224
ccc,2023/04/11,1224
bbb,2023/04/12,1223
eee,2023/04/12,1223
ddd,2023/04/12,1222
ccc,2023/04/12,1222
aaa,2023/04/12,1223
eee,2023/04/13,1204
ccc,2023/04/13,1213
aaa,2023/04/13,1220
ddd,2023/04/13,1229
bbb,2023/04/13,1236
aaa,2023/04/14,1218
ddd,2023/04/14,1216
ccc,2023/04/14,1216
bbb,2023/04/14,1216
eee,2023/04/14,1214
eee,2023/04/15,1199
ddd,2023/04/15,1208
ccc,2023/04/15,1202
bbb,2023/04/15,1223
aaa,2023/04/15,1221
bbb,2023/04/16,1206
aaa,2023/04/16,1205
ccc,2023/04/16,1202
ddd,2023/04/16,1202
eee,2023/04/16,1201
ccc,2023/04/17,1198
eee,2023/04/17,1197
aaa,2023/04/17,1194
ddd,2023/04/17,1193
bbb,2023/04/17,1190
bbb,2023/04/18,1170
ddd,2023/04/18,1182
ccc,2023/04/18,1181
eee,2023/04/18,1191
aaa,2023/04/18,1199
eee,2023/04/19,1179
bbb,2023/04/19,1175
ccc,2023/04/19,1174
aaa,2023/04/19,1170
ddd,2023/04/19,1169
ddd,2023/04/20,1152
aaa,2023/04/20,1157
eee,2023/04/20,1152
bbb,2023/04/20,1171
ccc,2023/04/20,1169
aaa,2023/04/21,1152
ddd,2023/04/21,1150
bbb,2023/04/21,1146
ccc,2023/04/21,1143
eee,2023/04/21,1139
bbb,2023/04/22,1137
aaa,2023/04/22,1133
ccc,2023/04/22,1130
